starttime	endtime	summary	description	location
20171017T191500	20171017T204500	Podiumsdiskussion: Wem gehören meine Daten?	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/index.html	Geschwister-Scholl-Platz 1, 81669 München
20171024T191500	20171024T204500	Big Data, Artificial Intelligence, …: Is this time different?	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/schmetz.html	Geschwister-Scholl-Platz 1, 81669 München
20171107T191500	20171107T204500	Datenreichtum, Datensparsamkeit, Datensouveränität? Leitbilder für den Datenschutz der Big Data	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/schaar.html	Geschwister-Scholl-Platz 1, 81669 München
20171114T191500	20171114T204500	Datenschutz in Surveys	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/kreuter.html	Geschwister-Scholl-Platz 1, 81669 München
20171121T191500	20171121T204500	Fake News, Hass und Hetze – Die große Propagandaschlacht im Netz	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/huesmann.html	Geschwister-Scholl-Platz 1, 81669 München
20171128T191500	20171128T204500	Bauch oder Zahl? – Entscheidungsfindung in einer datengetriebenen Welt	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/wernicke.html	Geschwister-Scholl-Platz 1, 81669 München
20171205T191500	20171205T204500	Building the Data Economy – Rechtliche Rahmenbedingungen und Herausforderungen der Digitalen Transformation	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/duisberg.html	Geschwister-Scholl-Platz 1, 81669 München
20171212T191500	20171212T204500	Evidenzbasierte Medizin – Inspiration für Neues oder Innovationsbremse?	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/mansmann.html	Geschwister-Scholl-Platz 1, 81669 München
20171219T191500	20171219T204500	Big Data ist tot, es lebe Big Data: vom Marketingbegriff zum Befähiger effizienter Unternehmensprozesse und neuer Geschäftsmodelle	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/wies_demtroeder.html	Geschwister-Scholl-Platz 1, 81669 München
20180109T191500	20180109T204500	Big Data: Seismische Tomographie des Erdinneren	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/igel.html	Geschwister-Scholl-Platz 1, 81669 München
20180116T191500	20180116T204500	Digitalisierte Erbsenzähler: Implikationen von Digitalisierung und Big Data für Rechnungswesen und Wirtschaftsprüfung	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/sellhorn.html	Geschwister-Scholl-Platz 1, 81669 München
20180123T191500	20180123T204500	Was bedeutet die Nutzung von "Big Data" in Unternehmen für die Konsumenten?	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/winter.html	Geschwister-Scholl-Platz 1, 81669 München
20180130T191500	20180130T204500	Data Ethics und Datenschutzrecht – Was bringt die neue Europäische Datenschutzgrundverordnung?	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/spindler.html	Geschwister-Scholl-Platz 1, 81669 München
20180206T191500	20180206T204500	Ethische Fragen in der Digitalisierung am Beispiel des Autonomen Fahrens	Hörsaal B 101 https://www.uni-muenchen.de/studium/studienangebot/lehrangebote/ringvorlesung/rv_17_18/broy.html	Geschwister-Scholl-Platz 1, 81669 München
